website;email;city;category
https://www.pedrasdebaixo.pt/;geral@pedrasdebaixo.pt;;
https://www.patiosaovicente.com/;reservations@patiosaovicente.com;;
https://www.nextlevelhotels.pt/%3Futm_source%3Dgoogle%26utm_medium%3Dgmb;info@nextlevelhotels.pt;;Hotel
https://www.mysuitelisbon.com/pt/;mslreservations@phchotels.pt;;
https://www.moteishorly.pt/;geral@horlymotel.com;Braga;
https://www.moonandsun.pt/braga;geral@ms-hotels.com;Braga;
https://www.moinhonovo.com/;casas@moinhonovo.com;;
https://www.meliabraga.com/pt-pt/restaurante/%23el-olivo;melia.braga@meliaportugal.com;Braga;Organization
https://www.meliabraga.com/%3Futm_campaign%3Dgoogle%26utm_content%3D5688%26utm_medium%3Dorganic%26utm_source%3Ddirectories;melia.braga@meliaportugal.com;Braga;Organization
https://www.majesticlara.com/;majesticlara2021@gmail.com;Lisboa;Local Business
https://www.lisbonwinehouse.com/;info@lisbonwinehouse.com;Lisboa;
https://www.lisbonstudios.com/;info@lisbonstudios.com;Lisboa;Lodging Business
https://www.lisbonlounge.com/;info@lisbonlounge.com;Lisbon;Hostel
https://www.lakkana.net/;user@domain.com;Braga;
https://www.isisbraga.pt/;reservas@isisbraga.pt;Braga;
https://www.innsidebraga.com/;innside.braga@meliaportugal.com;Braga;Organization
https://www.hotelsenhoradomonte.com/;geral@asp-advogados.com;Lisboa;
https://www.hotel-florida.pt/;sales@continentalhotels.eu;Lisboa;Hotel
https://www.hotelfenicius.pt/;user@domain.com;Lisboa;Local Business
https://www.hotelbotanico.pt/;info@hotelbotanico.pt;Lisboa;
https://www.hotel-bb.com/pt/hotel/braga-lamacaes%3Futm_source%3Dgooglemaps%26utm_medium%3Dfichehotel%26utm_campaign%3Dbraga;privacy.france@hotelbb.com;;
https://www.hotel-aslisboa.pt/;info@hotel-aslisboa.pt;;
https://www.hotel3kmadrid.pt/;geral@hotel3kmadrid.pt;Lisboa;Hotel
https://www.hotel3kbarcelona.pt/;geral@hotel3kbarcelona.pt;Lisboa;Hotel
https://www.hoteisbomjesus.pt/hotel-templo-hotel-spa-em-braga/;geral@ciab.pt;Braga;Hotel
https://www.grandepensaoalcobia.pt/;geral@grandepensaoalcobia.pt;Santa Maria Maior;Hotel
https://www.fonteluminosa70.pt/;fonteluminosa70@gmail.com;Lisboa;
https://www.cm-braga.pt/pt/1201/conhecer/alojamento/parque-de-campismo-e-pousada-da-juventude/item/item-1-859;parque.campismo@cm-braga.pt;Braga;
https://www.casanovafarmhouse.com/;reservas@casanovafarmhouse.com;Braga;Hotel
https://www.bulls.pt/pt/;geral@bulls.pt;Braga;
https://www.blueliberdadehotel.com/;geral@blueliberdadehotel.com;Lisboa;Hotel
https://www.beijingbraga.com/;beijingbragacozinhaasiatica@gmail.com;;
https://www.138liberdadehotel.com/;reception@138liberdadehotel.com;Lisbon;Hotel
https://timeto.pt/;geral@timeto.pt;Braga;
https://terracelisbonhostel.pt/;reservations@terracelisbonhostel.pt;;
https://palatial.pt/palatial-suites/;info@palatial.pt;Braga;Organization
https://palatial.pt/;info@palatial.pt;Braga;Organization
https://numastays.com/locations/portugal/lisbon/chiado/chiado;reservas@lisbonapartments.pt;Lisbon;Lodging Business
https://mikadosushi.pt/braga;geral@mikadosushi.pt;Gualtar;
https://livrariarestaurante.pt/;geral@livrariarestaurante.pt;;
https://lisbonjoy.wixsite.com/website;kamil.forhosts@gmail.com;Lisboa;
https://linktr.ee/charme.restaurantes;charme.restaurantes@gmail.com;;Profile Page
https://leconsulat.pt/;resa@leconsulat.pt;Lisboa;
https://lamafia.pt/restaurante/braga/;admin@lamafia.pt;Braga;
https://inatobistro.pt/;geral@inatobistro.pt;Braga;
https://hotelvipberna.com/;info@hotelvipberna.com;Lisboa;Hotel
https://estreladearganil.com/;info@estreladearganil.com;Lisbon;Hotel
https://eatthaistreetfood.pt/;info@eatthaistreetfood.pt;Braga;Local Business
https://delighthostel.com/;info@delightshostel.com;Lisboa;
https://burgushotel.com/public/restaurant;reservas@burgushotel.com;;
https://boavista83.com/;info@boavista83.com;Lisboa;
https://bmyt.pt/;info@castilho63.com;;
https://anjoshotel.com/;geral@anjoshotel.com;Lisboa;
https://ambientehostel.pt/;info@ambientehostel.pt;Lisboa;Organization
https://almarestaurant.pt/;reservas@almaresturant.pt;;
http://www.welcomehostel.pt/;info@welcomehostel.pt;Lisbon;
http://www.visionaireapartments.com/;guests@visionaireapartments.com;;
http://www.vilaguesthouses.com/;vilagarden@vilaguesthouses.com;Lisboa;
http://www.valverdehotel.com/;info.lisboa@valverdeliving.com;;
http://www.torelpalacelisbon.com/;info@torelpalacelisbon.com;Lisbon;Hotel
http://www.tmluxuryapartments.com/;info@tmluxuryapartments.com;Lisboa;Organization
http://www.tiaisabel.pt/;geral@tiaisabel.pt;São Vitor;
http://www.thisislisbonhostel.com/;info@thisislisbonhostel.com;Lisbon;
http://www.stellabraga.pt/;reservas@stellabraga.pt;;Hotel
http://www.signatureapartments.pt/;signature@signatureapartments.pt;Braga;
http://www.seapartamentos.pt/;geral@seapartamentos.pt;Braga;Local Business
http://www.salvaterracountryhouse.com/;info@salvaterracountryhouse.com;Salvaterra de Magos;
http://www.rossioplazahotel.com/;info@rossioplazahotel.com;Lisboa;
http://www.restauranterolha.pt/;reservas@restauranterolha.pt;Braga;
http://www.praca44apartments.com/;geral@ciab.pt;Braga;Lodging Business
http://www.pousodosanjos.com/;pousodosanjos@gmail.com;;
http://www.portanovach.pt/;reservas@portanovach.pt;Braga;Organization
http://www.portanovach.pt/;reservas@portanovach.pt;Braga;Organization
http://www.mycharmlisbon.com/;geral@mycharmlisbon.com;Lisboa;Hotel
http://www.mourarialisboahotel.com/;reservas@mourarialisboahotel.com;Lisboa;
http://www.lxrossiohotel.com/;reservas@lxrossiohotel.com;Lisboa;Hotel
http://www.lpboutiquehotel.com/lisboa-prata;reservations@lpboutiquehotel.com;Lisboa;
http://www.livingloungehostel.com/;info@livingloungehostel.com;Lisbon;About Page
http://www.lisbonpalmarooms-suites.com/;lisbonpalmarooms@gmail.com;Lisboa;Local Business
http://www.lisbonchillouthostel.com/;lisbonchh@gmail.com groups@lisbonchillouthostel.com;Lisboa;
http://www.lcpark.com/;info@lcpark.com;Lisboa;Organization
http://www.hotelprincipelisboa.com/;reservas@hotelprincipelisboa.com;;Hotel
http://www.hotelportuense.com/;info@hotelportuense.com;Lisboa;
http://www.hotel-nacional.com/;geral@hotel-nacional.com;;Hotel
http://www.hotellisboa.com.pt/;rsv@hotellisboa.com.pt;Lisboa;
http://www.hotelhotel.pt/;info@hotelhotel.pt;Lisboa;Hotel
http://www.hotelflamingo.pt/;reservas@hotelflamingo.pt;Lisboa;
http://www.hotelestacao.com/;estacao@hotelurban.pt;;Organization
http://www.hoteldublin.pt/;reservas@hoteldublin.pt;Lisboa;
http://www.hoteldasamoreiras.com/;info@hoteldasamoreiras.com;Lisboa;Hotel
http://www.hoteldabaixa.com/;geral@hoteldabaixa.com;Lisbon;Hotel
http://www.hotelborges.com/;reservas@hotelborges.com;Lisboa;Hotel
http://www.hotelalegria.pt/;info@hotelalegria.pt;Lisbon;Hotel
http://www.hoteisbomjesus.pt/hotel-do-parque-em-braga/;geral@ciab.pt;Braga;Hotel
http://www.frigideirasdocantinho.pt/;frigideiras.cantinho@gmail.com;Braga;
http://www.famous-crows.com/;geral@famous-crows.com;Lisboa;Hotel
http://www.empirelisbonhotel.com/;booking@maarlab.com;Lisboa;Hotel
http://www.duasnacoes.com/;reservas@duasnacoes.com;Lisboa;Hotel
http://www.domcarloshoteis.com/;reservas@domcarloshoteis.com;;Organization
http://www.czarlisbonhotel.com/;reservas@czarlisbonhotel.com;Lisboa;Hotel
http://www.cozinhadase.pt/;geral@cozinhadase.pt;Braga;
http://www.casagaeastay.com/;contacto@casagaeastay.com;;Organization
http://www.casadoslagosbomjesus.com/;casadoslagos.braga@gmail.com;Bom Jesus;
http://www.casadobarao.com/;casasdobarao@gmail.com;;
http://www.canterestaurante.pt/;geral@canterestaurante.pt;Braga;Food Establishment
http://www.burgushotel.com/;reservas@burgushotel.com;;
http://www.britanialisboa.com/;fo@britanialisboa.com;Lisboa;
http://www.avenidapark.com/;reservas@avenidapark.com;Lisboa;Hotel
http://www.arcoense.com/;geral@arcoense.com;;
http://www.apecoffee.club/;store@apecoffee.club;Braga;
http://www.1908lisboahotel.com/;info@1908lisboahotel.com;Lisboa;Hotel
http://vilaguesthouses.com/vilagarden;vilagarden@vilaguesthouses.com;Lisboa;
http://toctoctoclisboa.com/;welcome@toctoctoclisboa.com;Lisbon;
http://madrabica.com/;hello@madrabica.com;Lisboa;
http://casasdopaco.pt/;info@casasdopaco.pt;Braga;Lodging Business
http://bragaheritagelofts.pt/;welcome@bragaheritagelofts.pt;Braga;
http://biradosnamorados.pt/;geral@biradosnamorados.pt;;
http://alfacehostel.com/;alfacehostel@gmail.com;Lisboa;Local Business
